,Date,Zip Code,Model Year,Fuel,Make,Duty,Vehicles
0,10/1/2018,90000,2006,Gasoline,OTHER/UNK,Light,1
1,10/1/2018,90000,2014,Gasoline,OTHER/UNK,Light,1
2,10/1/2018,90000,2016,Gasoline,OTHER/UNK,Light,1
3,10/1/2018,90000,2017,Gasoline,OTHER/UNK,Light,1
4,10/1/2018,90000,<2006,Diesel and Diesel Hybrid,OTHER/UNK,Heavy,55
5,10/1/2018,90000,<2006,Diesel and Diesel Hybrid,OTHER/UNK,Light,2
6,10/1/2018,90000,<2006,Diesel and Diesel Hybrid,WHITE,Heavy,19
7,10/1/2018,90000,<2006,Battery Electric,OTHER/UNK,Heavy,4
8,10/1/2018,90000,<2006,Gasoline,CHEVROLET,Light,33
9,10/1/2018,90000,<2006,Gasoline,DODGE,Light,11
